,Unnamed: 0,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,season_year,composite_performance_score
1274,1274,Matt Harpring,ORL,23.0,200.66,104.779752,Georgia Tech,USA,1998,1,15,50,8.2,4.3,0.9,0.0,0.09,0.14,0.184,0.5329999999999999,0.072,1998-99,1998,0.29877700077899555
1288,1288,Miles Simon,ORL,23.0,190.5,91.625584,Arizona,USA,1998,2,42,5,0.4,0.4,0.0,0.0,0.071,0.059,0.208,0.2,0.0,1998-99,1998,0.1288848361609791
1292,1292,Larry Hughes,PHI,20.0,195.58,83.91452,Saint Louis,USA,1998,1,8,50,9.1,3.8,1.5,1.1,0.093,0.126,0.246,0.474,0.15,1998-99,1998,0.3304748366629162
1310,1310,Nazr Mohammed,PHI,21.0,208.28,108.86208,Kentucky,USA,1998,1,29,26,1.6,1.4,0.1,15.9,0.175,0.165,0.2269999999999999,0.41,0.031,1998-99,1998,0.2370488785548622
1322,1322,Michael Ruffin,CHI,23.0,205.74,111.583632,Tulsa,USA,1999,2,32,71,2.2,3.5,0.6,0.0,0.142,0.168,0.111,0.45,0.0819999999999999,1999-00,1999,0.19471719991513206
1326,1326,Metta World Peace,CHI,20.0,198.12,110.676448,St. John's (NY),USA,1999,1,16,72,12.0,4.3,2.7,0.0,0.031,0.129,0.215,0.491,0.171,1999-00,1999,0.36857490578534186
1342,1342,Obinna Ekezie,VAN,24.0,205.74,122.46984,Maryland,Nigeria,1999,2,37,39,3.2,2.4,0.2,0.0,0.125,0.214,0.1889999999999999,0.5379999999999999,0.039,1999-00,1999,0.22557459180677908
1360,1360,Jumaine Jones,PHI,21.0,203.2,98.883056,Georgia,USA,1999,1,27,33,1.7,1.2,0.2,1.2,0.109,0.152,0.246,0.432,0.074,1999-00,1999,0.2091625891342359
1368,1368,Kenny Thomas,HOU,22.0,203.2,117.93392,New Mexico,USA,1999,1,22,72,8.3,6.1,1.6,0.9,0.094,0.178,0.18,0.477,0.099,1999-00,1999,0.3306783792502339
1385,1385,John Celestand,LAL,23.0,193.04,80.73937600000001,Villanova,USA,1999,2,30,16,2.3,0.7,1.3,0.0,0.006,0.0559999999999999,0.148,0.3879999999999999,0.165,1999-00,1999,0.17640779248874397
